"state","district","idp_settlement","breadwinner","enough_water","enough_water.drinking","enough_water.cooking","enough_water.personal_hygiene_","enough_water.other__domestic_purposes_","enough_water.not_enough_water_","enough_water.dontknow","child_thin","latrine_features","latrine_features.door","latrine_features.walls_","latrine_features.lock","latrine_features.inside","latrine_features.outside","latrine_features.marked","latrine_features.close","latrine_features.access","latrine_features.soap","females_18_40","enrolled_boys_6_12","resp_gender","district_idp"
"South West State","baidoa","yes","adult_male","not_enough_water_",0,0,0,0,1,0,"yes","door inside outside",1,1,0,1,1,0,0,0,0,1,NA,"female","sakow"
"Galmudug","gaalkacyo","yes","adult_female","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"female",""
"Somaliland","ceerigaabo","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","wanla_weyn","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","ceel_afweyn","no","adult_male","other__domestic_purposes_ personal_hygiene_ cooking drinking",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Jubaland","qoryooley","no","adult_female","not_enough_water_",0,0,0,0,1,0,"yes","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Puntland","burtinle","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,3,"female",""
"Banadir","banadir_kahda","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Somaliland","xudun","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Puntland","bandarbayla","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,2,"male",""
"Galmudug","jariiban","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","baki","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"male",""
"Puntland","garowe","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female","boondheere"
"Galmudug","cadaado","yes","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"","walls_ door lock",1,1,1,0,0,0,0,0,0,1,NA,"male",""
"Banadir","banadir_daynile","yes","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"female",""
"Jubaland","marka","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","marked",0,0,0,0,0,1,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock outside",1,1,1,0,1,0,0,0,0,1,1,"female",""
"Somaliland","ceerigaabo","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female","ceerigaabo"
"Somaliland","laasqoray","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","borama","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Puntland","iskushuban","no","adult_male","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"female",""
"Jubaland","baardheere","no","adult_male","cooking drinking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","walls_ door lock",1,1,1,0,0,0,0,0,0,0,2,"female",""
"Somaliland","borama","yes","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","caynabo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Galmudug","gaalkacyo","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock inside outside",1,1,1,1,1,0,0,0,0,1,NA,"female",""
"Somaliland","owdweyne","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"female",""
"Jubaland","kismayo","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,1,"male",""
"Galmudug","galdogob","yes","adult_female","personal_hygiene_ drinking cooking other__domestic_purposes_",1,1,1,1,0,0,"yes","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female","gaalkacyo_north"
"Somaliland","berbera","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock inside",1,1,1,1,0,0,0,0,0,0,NA,"male",""
"Jubaland","qoryooley","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,NA,"male","kurtunwaarey"
"South West State","buur_hakaba","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","lock walls_ door",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","borama","no","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"male",""
"Jubaland","afgooye","no","adult_female","cooking drinking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","lughaye","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,0,NA,"female",""
"Banadir","banadir_kahda","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","berbera","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,2,1,"female",""
"Jubaland","wanla_weyn","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","close",0,0,0,0,0,0,1,0,0,1,NA,"male",""
"Puntland","bandarbayla","no","eldery_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","ceerigaabo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"male",""
"Jubaland","wanla_weyn","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"male","afgooye"
"South West State","ceel_barde","yes","adult_male","not_enough_water_",0,0,0,0,1,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Hirshabelle","belet_weyne","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"male",""
"Galmudug","dhuusamarreeb","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,0,NA,"male",""
"Banadir","banadir_daynile","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","inside outside",0,0,0,1,1,0,0,0,0,1,NA,"female","daynile"
"Jubaland","belet_xaawo","no","adult_female","drinking cooking",1,1,0,0,0,0,"yes","walls_",0,1,0,0,0,0,0,0,0,1,NA,"female",""
"South West State","waajid","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"male","waajid"
"Puntland","garowe","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,2,NA,"male",""
"Puntland","eyl","no","adult_male","drinking personal_hygiene_ other__domestic_purposes_ cooking",1,1,1,1,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,1,"male",""
"Somaliland","sheikh","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock inside marked outside door",1,1,1,1,1,1,0,0,0,0,NA,"male",""
"Somaliland","laas_caanood","no","eldery_male","other__domestic_purposes_ personal_hygiene_ cooking drinking",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","hargeysa","no","adult_female","cooking drinking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","hargeysa","no","eldery_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","inside",0,0,0,1,0,0,0,0,0,0,NA,"female",""
"Somaliland","laasqoray","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,2,NA,"male",""
"Somaliland","berbera","no","eldery_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Puntland","qardho","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"South West State","buur_hakaba","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Somaliland","sheikh","no","adult_female","cooking personal_hygiene_ drinking",1,1,1,0,0,0,"no","walls_ door",1,1,0,0,0,0,0,0,0,3,NA,"female",""
"Banadir","banadir_hc","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock close",1,1,1,0,0,0,1,0,0,1,NA,"female","qoryooley"
"Somaliland","caynabo","no","adult_female","cooking other__domestic_purposes_ drinking",1,1,0,1,0,0,"no","door lock marked",1,1,1,0,0,1,0,0,0,1,NA,"female","caynabo"
"Jubaland","doolow","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"male",""
"Galmudug","galdogob","yes","adult_female","drinking cooking other__domestic_purposes_ personal_hygiene_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,2,"female",""
"Somaliland","laas_caanood","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,1,"female","laasqoray"
"Puntland","garowe","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","walls_ door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"South West State","baidoa","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","taleex","yes","adult_male","drinking personal_hygiene_",1,0,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female","badhan"
"Somaliland","hargeysa","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Galmudug","cabudwaaq","yes","eldery_female","cooking other__domestic_purposes_",0,1,0,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","baki","no","adult_male","personal_hygiene_ not_enough_water_",0,0,1,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Banadir","banadir_hc","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock marked soap",1,1,1,0,0,1,0,0,1,2,NA,"female","jowhar"
"Somaliland","zeylac","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","xudun","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Somaliland","gebiley","yes","eldery_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"male",""
"Puntland","burtinle","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","borama","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Hirshabelle","belet_weyne","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","burco","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Jubaland","kismayo","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","lock door walls_",1,1,1,0,0,0,0,0,0,1,NA,"male",""
"Banadir","banadir_other","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,0,NA,"female","jowhar"
"Jubaland","afgooye","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female","afgooye"
"Somaliland","owdweyne","yes","adult_male","cooking drinking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","laas_caanood","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Banadir","banadir_kahda","yes","eldery_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","hobyo","no","adult_female","cooking drinking",1,1,0,0,0,0,"no","lock door walls_ inside",1,1,1,1,0,0,0,0,0,1,NA,"female",""
"Somaliland","caynabo","no","adult_male","drinking personal_hygiene_ cooking other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,2,"female",""
"Jubaland","afmadow","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"male","jamaame"
"Somaliland","lughaye","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Somaliland","zeylac","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","kismayo","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female","jilib"
"Somaliland","buuhoodle","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","laasqoray","no","eldery_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Somaliland","berbera","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","lock door",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Hirshabelle","belet_weyne","yes","adult_female","cooking drinking",1,1,0,0,0,0,"no","door outside",1,1,0,0,1,0,0,0,0,1,NA,"female",""
"Somaliland","laasqoray","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"male",""
"Somaliland","baki","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Somaliland","baki","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock inside",1,1,1,1,0,0,0,0,0,0,1,"female",""
"Puntland","eyl","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","walls_ door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","gaalkacyo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock inside outside",1,1,1,1,1,0,0,0,0,1,NA,"male",""
"Banadir","banadir_hc","no","adult_male","personal_hygiene_",0,0,1,0,0,0,"no","outside soap",0,0,0,0,1,0,0,0,1,1,NA,"female",""
"Somaliland","hargeysa","no","adult_female","cooking drinking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Banadir","banadir_other","yes","adult_male","drinking",1,0,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Puntland","garowe","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,2,1,"female",""
"South West State","buur_hakaba","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Puntland","garowe","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,1,"male",""
"Banadir","banadir_kahda","yes","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,0,NA,"female","baidoa"
"South West State","buur_hakaba","no","adult_male","cooking",0,1,0,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,1,"male",""
"Somaliland","borama","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Galmudug","cadaado","yes","adult_female","not_enough_water_",0,0,0,0,1,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","buuhoodle","yes","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Jubaland","baardheere","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","close door lock",1,1,1,0,0,0,1,0,0,1,1,"male",""
"Somaliland","baki","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"female",""
"Somaliland","hargeysa","yes","eldery_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,4,NA,"female",""
"Somaliland","xudun","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,1,"male",""
"Hirshabelle","belet_weyne","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,1,"female",""
"Somaliland","xudun","yes","adult_female","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"female","xudun"
"Jubaland","badhaadhe","no","adult_male","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","berbera","yes","adult_female","cooking drinking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","gebiley","yes","eldery_male","cooking drinking",1,1,0,0,0,0,"no","walls_ door",1,1,0,0,0,0,0,0,0,0,NA,"female",""
"South West State","baidoa","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ door lock",1,1,1,0,0,0,0,0,0,1,1,"female",""
"Jubaland","luuq","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","ceerigaabo","yes","adult_female","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,0,NA,"female","ceerigaabo"
"Hirshabelle","jowhar","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","inside lock walls_ door",1,1,1,1,0,0,0,0,0,1,NA,"female",""
"Jubaland","afmadow","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock inside",1,1,1,1,0,0,0,0,0,1,0,"male",""
"Jubaland","wanla_weyn","yes","eldery_male","cooking personal_hygiene_ drinking",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,0,NA,"female",""
"Somaliland","xudun","yes","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","doolow","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","xudun","yes","adult_male","not_enough_water_",0,0,0,0,1,0,"yes","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Puntland","bossaso","no","adult_female","not_enough_water_",0,0,0,0,1,0,"no","door walls_",1,1,0,0,0,0,0,0,0,0,2,"female",""
"Somaliland","ceerigaabo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"female",""
"South West State","baidoa","yes","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,0,NA,"female","buur_hakaba"
"Puntland","eyl","no","adult_male","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"male",""
"Somaliland","borama","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","hargeysa","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock inside outside door",1,1,1,1,1,0,0,0,0,2,NA,"female","sheikh"
"South West State","buur_hakaba","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door outside",1,1,0,0,1,0,0,0,0,1,NA,"female",""
"Jubaland","belet_xaawo","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","door marked",1,1,0,0,0,1,0,0,0,1,1,"female",""
"Jubaland","qoryooley","no","adult_male","not_enough_water_",0,0,0,0,1,0,"yes","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","marka","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"yes","walls_ inside",0,1,0,1,0,0,0,0,0,1,NA,"female",""
"South West State","buur_hakaba","no","eldery_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Jubaland","belet_xaawo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock close",1,1,1,0,0,0,1,0,0,1,1,"female",""
"Hirshabelle","belet_weyne","yes","adult_female","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"female","belet_weyne"
"South West State","xudur","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,2,"female",""
"Jubaland","kismayo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female","jilib"
"Somaliland","berbera","no","adult_female","cooking drinking",1,1,0,0,0,0,"","door",1,1,0,0,0,0,0,0,0,0,NA,"female",""
"Somaliland","gebiley","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Galmudug","gaalkacyo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock inside outside",1,1,1,1,1,0,0,0,0,1,NA,"male",""
"Somaliland","xudun","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Puntland","burtinle","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","buuhoodle","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"male","buuhoodle"
"South West State","buur_hakaba","no","eldery_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"male",""
"Hirshabelle","jowhar","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","walls_ door lock inside",1,1,1,1,0,0,0,0,0,1,NA,"female",""
"Somaliland","xudun","yes","adult_male","personal_hygiene_ other__domestic_purposes_",0,0,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Hirshabelle","belet_weyne","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","afmadow","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,0,1,"female",""
"Banadir","banadir_daynile","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"male","qoryooley"
"Somaliland","lughaye","no","eldery_male","drinking cooking other__domestic_purposes_ personal_hygiene_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"male",""
"Somaliland","berbera","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","outside inside",0,0,0,1,1,0,0,0,0,0,NA,"female",""
"Somaliland","gebiley","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock inside",1,1,1,1,0,0,0,0,0,0,1,"male",""
"Jubaland","ceel_waaq","no","adult_male","drinking cooking",1,1,0,0,0,0,"yes","door",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","gebiley","no","adult_female","drinking cooking other__domestic_purposes_",1,1,0,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"female",""
"Jubaland","kismayo","yes","adult_male","not_enough_water_",0,0,0,0,1,0,"no","walls_ door inside",1,1,0,1,0,0,0,0,0,1,1,"male",""
"Somaliland","sheikh","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"male",""
